date;Ecuador;Recuperados
31/12/2019;0;0
1/1/2020;0;0
2/1/2020;0;0
3/1/2020;0;0
4/1/2020;0;0
5/1/2020;0;0
6/1/2020;0;0
7/1/2020;0;0
8/1/2020;0;0
9/1/2020;0;0
10/1/2020;0;0
11/1/2020;0;0
12/1/2020;0;0
13/1/2020;0;0
14/1/2020;0;0
15/1/2020;0;0
16/1/2020;0;0
17/1/2020;0;0
18/1/2020;0;0
19/1/2020;0;0
20/1/2020;0;0
21/1/2020;0;0
22/1/2020;0;0
23/1/2020;0;0
24/1/2020;0;0
25/1/2020;0;0
26/1/2020;0;0
27/1/2020;0;0
28/1/2020;0;0
29/1/2020;0;0
30/1/2020;0;0
31/1/2020;0;0
1/2/2020;0;0
2/2/2020;0;0
3/2/2020;0;0
4/2/2020;0;0
5/2/2020;0;0
6/2/2020;0;0
7/2/2020;0;0
8/2/2020;0;0
9/2/2020;0;0
10/2/2020;0;0
11/2/2020;0;0
12/2/2020;0;0
13/2/2020;0;0
14/2/2020;0;0
15/2/2020;0;0
16/2/2020;0;0
17/2/2020;0;0
18/2/2020;0;0
19/2/2020;0;0
20/2/2020;0;0
21/2/2020;0;0
22/2/2020;0;0
23/2/2020;0;0
24/2/2020;0;0
25/2/2020;0;0
26/2/2020;0;0
27/2/2020;0;0
28/2/2020;0;0
29/2/2020;0;0
1/3/2020;1;0
2/3/2020;6;0
3/3/2020;7;0
4/3/2020;0;0
5/3/2020;10;0
6/3/2020;13;0
7/3/2020;0;0
8/3/2020;0;0
9/3/2020;14;0
10/3/2020;15;0
11/3/2020;17;0
12/3/2020;0;0
13/3/2020;0;0
14/3/2020;23;0
15/3/2020;28;0
16/3/2020;37;0
17/3/2020;58;0
18/3/2020;111;0
19/3/2020;168;0
20/3/2020;199;0
21/3/2020;426;3
22/3/2020;532;3
23/3/2020;789;3
24/3/2020;981;3
25/3/2020;1082;3
26/3/2020;1211;3
27/3/2020;1403;3
28/3/2020;1627;3
29/3/2020;1835;3
30/3/2020;1890;3
31/3/2020;1966;54
1/4/2020;2302;58
2/4/2020;2758;65
3/4/2020;3163;65
4/4/2020;3368;100
5/4/2020;3465;100
6/4/2020;3646;100
7/4/2020;3747;100
8/4/2020;3995;140
9/4/2020;4450;339
10/4/2020;4965;368
11/4/2020;7161;411
12/4/2020;7257;501
